"Average.Rt.min.","Adduct.type","Metabolite.name","Blank_1","Pool_1","Pool_2","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
1.732,"[M-H]-","Arginine",1314,58387356,54752150,6969124,99539236,41083517,42604150,38450420,77047226,89601457,77350695,91156333,71438560,67723472,7737466,37028414,44235936,34069602,13179515,25374052,15781044,59617454,48823609,27564636,5970842,51712926,53188866,50205205,47341126,100405273,99397974
2.177,"[M-H]-","N-Acetylaspartic acid",9639,4183625,4748311,2106948,2334619,6289291,5385783,8337419,24506421,29323783,15940499,12816349,13611503,8260827,71340,7122560,6845569,7117452,1901886,1751671,1646114,4651645,3647924,8892281,2024726,2452770,2955104,2404484,3194826,855439,3141603
3.182,"[M-H]-","2-Isopropylmalic acid; LC-ESI-QTOF; MS2; CE",14898,4001426,12305397,184999,92004,873409,8331600,8285698,16169340,15322367,11361006,3537792,8188702,6412365,675512,4412761,26005694,5625172,16675304,19239959,13982611,4509847,11192556,1832994,396983,1812270,1938427,1851943,1570252,125319,115526
3.078,"[M-H]-","2-Isopropylmalic acid; LC-ESI-QTOF; MS2; CE",14108,4001426,5848032,100762,135857,6632347,8331600,8285698,16169340,15322367,11251013,3537792,8188702,1730315,90177,3055207,20332117,3103982,4848303,19239959,13982611,2130174,11192556,4728220,396983,1812270,1938427,1851943,1570252,175098,136246
3.373,"[M-H]-","N-Formylmethionine",6430,3319167,3368220,59720,1930177,138870,160622,18726,10298659,6304026,4808770,3560759,3167368,2746639,123789,6407428,8539794,6813075,2109695,1202742,1119341,2210629,1644124,4378334,128866,855332,883590,767519,905112,2716528,2253552
19.766,"[M-H]-","esculetin",NA,98530,162448,NA,3912,89484,115769,97057,3684,3181,3354,126884,4260,136070,NA,584748,651431,505315,140053,70636,33803,271380,159323,258364,NA,NA,NA,2958,14251,7560,3896
18.818,"[M-H]-","L-Tyrosine; LC-ESI-QTOF; MS2; CE",41598,612798,655012,100809,146030,245953,221863,342783,780020,778696,423415,1194672,2065947,2119258,85394,849667,780514,941584,501319,821093,736677,346759,272425,607319,89796,349520,231546,164070,105841,147970,170694
3.1,"[M-H]-","Tyrosine",76296,18486459,14888370,943284,10786969,3011739,2552993,3897988,72057318,76208140,40791072,36834442,29650548,21821049,876518,18883181,22844520,30084440,1546962,2436898,1709607,3257702,2494504,14300414,1020216,5972614,5257124,4601757,4746021,10996888,12067489
2.739,"[M-H]-","Tyrosine",77077,155140212,146191424,12022443,196902050,49973658,45016558,51323490,255900109,313522929,248691840,190982515,153833382,174751232,9772164,185795879,215684257,265049958,21253205,41594836,23963518,68912853,53711004,247925547,12429905,89337248,93142847,90054645,91753438,229098057,233440434
5.66,"[M-H]-","Tyrosine",58817,3730215,2710198,273786,860767,338656,297075,350520,4564185,4713184,2695705,1676938,3922482,2902101,270357,2770354,2514547,3290271,3066271,3835695,3187699,3823128,4365631,3926584,198367,1656572,962924,740667,637692,992954,1160127
17.876,"[M-H]-","L-Tyrosine; LC-ESI-QTOF; MS2; CE",47624,782696,720767,94104,114986,3413466,3269927,4235762,315588,465496,236387,302223,253527,286116,88434,386141,370843,518113,126008,119357,85901,149860,124487,444674,88346,298948,391558,140072,382518,131299,167641
5.176,"[M-H]-","4-Hydroxyphenyllactic acid",3219,714479,2204396,573382,106670,105668,120490,181943,1467562,1219647,1015627,1912365,3117508,2132426,284435,787306,326024,1785760,245302,440943,3027294,955830,270398,6366700,741561,53840,119696,49550,27794,153976,107498
20.818,"[M-H]-","4-O-Methylphloracetophenone",4420,285447,316923,6904,7081,8711,13646,13811,8452,13177,20272,571429,284107,747977,5903,860383,1171093,739730,191018,86068,56410,382542,241340,343432,6591,5105,3962,4988,9333,6505,3700
